
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (240 ELS. CTES.)    


DADOS

  NÚMERO DE ELEMENTOS DA MALHA=  240
  NÚMERO DE ELEMENTOS DE CONTORNO=  100
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS=  242
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
       1     -0.5000000D+01     -0.5000000D+01      0.0000000D+00
       2     -0.5000000D+01      0.5000000D+01      0.0000000D+00
       3     -0.5000000D+01     -0.4000000D+01      0.0000000D+00
       4     -0.5000000D+01     -0.3000000D+01      0.0000000D+00
       5     -0.5000000D+01     -0.2000000D+01      0.0000000D+00
       6     -0.5000000D+01     -0.1000000D+01      0.0000000D+00
       7     -0.5000000D+01      0.0000000D+00      0.0000000D+00
       8     -0.5000000D+01      0.1000000D+01      0.0000000D+00
       9     -0.5000000D+01      0.2000000D+01      0.0000000D+00
      10     -0.5000000D+01      0.3000000D+01      0.0000000D+00
      11     -0.5000000D+01      0.4000000D+01      0.0000000D+00
      12      0.5000000D+01      0.5000000D+01      0.0000000D+00
      13     -0.4000000D+01      0.5000000D+01      0.0000000D+00
      14     -0.3000000D+01      0.5000000D+01      0.0000000D+00
      15     -0.2000000D+01      0.5000000D+01      0.0000000D+00
      16     -0.1000000D+01      0.5000000D+01      0.0000000D+00
      17      0.0000000D+00      0.5000000D+01      0.0000000D+00
      18      0.1000000D+01      0.5000000D+01      0.0000000D+00
      19      0.2000000D+01      0.5000000D+01      0.0000000D+00
      20      0.3000000D+01      0.5000000D+01      0.0000000D+00
      21      0.4000000D+01      0.5000000D+01      0.0000000D+00
      22      0.5000000D+01     -0.5000000D+01      0.0000000D+00
      23      0.5000000D+01      0.4000000D+01      0.0000000D+00
      24      0.5000000D+01      0.3000000D+01      0.0000000D+00
      25      0.5000000D+01      0.2000000D+01      0.0000000D+00
      26      0.5000000D+01      0.1000000D+01      0.0000000D+00
      27      0.5000000D+01      0.0000000D+00      0.0000000D+00
      28      0.5000000D+01     -0.1000000D+01      0.0000000D+00
      29      0.5000000D+01     -0.2000000D+01      0.0000000D+00
      30      0.5000000D+01     -0.3000000D+01      0.0000000D+00
      31      0.5000000D+01     -0.4000000D+01      0.0000000D+00
      32      0.4000000D+01     -0.5000000D+01      0.0000000D+00
      33      0.3000000D+01     -0.5000000D+01      0.0000000D+00
      34      0.2000000D+01     -0.5000000D+01      0.0000000D+00
      35      0.1000000D+01     -0.5000000D+01      0.0000000D+00
      36      0.0000000D+00     -0.5000000D+01      0.0000000D+00
      37     -0.1000000D+01     -0.5000000D+01      0.0000000D+00
      38     -0.2000000D+01     -0.5000000D+01      0.0000000D+00
      39     -0.3000000D+01     -0.5000000D+01      0.0000000D+00
      40     -0.4000000D+01     -0.5000000D+01      0.0000000D+00
      41     -0.4000000D+01     -0.4000000D+01      0.0000000D+00
      42     -0.3000000D+01     -0.4000000D+01      0.0000000D+00
      43     -0.2000000D+01     -0.4000000D+01      0.0000000D+00
      44     -0.1000000D+01     -0.4000000D+01      0.0000000D+00
      45     -0.1110200D-15     -0.4000000D+01      0.0000000D+00
      46      0.1000000D+01     -0.4000000D+01      0.0000000D+00
      47      0.2000000D+01     -0.4000000D+01      0.0000000D+00
      48      0.3000000D+01     -0.4000000D+01      0.0000000D+00
      49      0.4000000D+01     -0.4000000D+01      0.0000000D+00
      50     -0.4000000D+01     -0.3000000D+01      0.0000000D+00
      51     -0.3000000D+01     -0.3000000D+01      0.0000000D+00
      52     -0.2000000D+01     -0.3000000D+01      0.0000000D+00
      53     -0.1000000D+01     -0.3000000D+01      0.0000000D+00
      54      0.0000000D+00     -0.3000000D+01      0.0000000D+00
      55      0.1000000D+01     -0.3000000D+01      0.0000000D+00
      56      0.2000000D+01     -0.3000000D+01      0.0000000D+00
      57      0.3000000D+01     -0.3000000D+01      0.0000000D+00
      58      0.4000000D+01     -0.3000000D+01      0.0000000D+00
      59     -0.4000000D+01     -0.2000000D+01      0.0000000D+00
      60     -0.3000000D+01     -0.2000000D+01      0.0000000D+00
      61     -0.2000000D+01     -0.2000000D+01      0.0000000D+00
      62     -0.1000000D+01     -0.2000000D+01      0.0000000D+00
      63     -0.1110200D-15     -0.2000000D+01      0.0000000D+00
      64      0.1000000D+01     -0.2000000D+01      0.0000000D+00
      65      0.2000000D+01     -0.2000000D+01      0.0000000D+00
      66      0.3000000D+01     -0.2000000D+01      0.0000000D+00
      67      0.4000000D+01     -0.2000000D+01      0.0000000D+00
      68     -0.4000000D+01     -0.1000000D+01      0.0000000D+00
      69     -0.3000000D+01     -0.1000000D+01      0.0000000D+00
      70     -0.2000000D+01     -0.1000000D+01      0.0000000D+00
      71     -0.1000000D+01     -0.1000000D+01      0.0000000D+00
      72      0.0000000D+00     -0.1000000D+01      0.0000000D+00
      73      0.1000000D+01     -0.1000000D+01      0.0000000D+00
      74      0.2000000D+01     -0.1000000D+01      0.0000000D+00
      75      0.3000000D+01     -0.1000000D+01      0.0000000D+00
      76      0.4000000D+01     -0.1000000D+01      0.0000000D+00
      77     -0.4000000D+01      0.0000000D+00      0.0000000D+00
      78     -0.3000000D+01      0.0000000D+00      0.0000000D+00
      79     -0.2000000D+01      0.0000000D+00      0.0000000D+00
